nombre,cargo,fecha_inicio,fecha_fin
Tras la celebración de las,elecciones generales del 23 de julio de 2023,21 de noviembre de 2023,29 de diciembre de 2023
investido presidente del Gobierno,el 16 de noviembre.,21 de noviembre de 2023,29 de diciembre de 2023
El Boletín Oficial del Estado (BOE) publica el Real Decreto con su,nombramiento el 17 de noviembre,21 de noviembre de 2023,29 de diciembre de 2023
Pedro Sánchez,. Ese mismo día,21 de noviembre de 2023,29 de diciembre de 2023
promete el cargo,ante el rey Felipe VI en el Palacio de la Zarzuela.,21 de noviembre de 2023,29 de diciembre de 2023
El presidente anuncia la,composición de su Gobierno,21 de noviembre de 2023,29 de diciembre de 2023
de los miembros de su Gabinete ante el rey.,"Fotografía de grupo del rey Felipe VI con el presidente del Gobierno, Pedro Sánchez, y con los ministros del nuevo Ejecutivo.",21 de noviembre de 2023,29 de diciembre de 2023
| © Casa de S.M. el Rey,Los ministros y ministras del nuevo Gabinete son los siguientes:,21 de noviembre de 2023,29 de diciembre de 2023
José Manuel Albares,"Ministro de Asuntos Exteriores, Unión Europea y Cooperación",21 de noviembre de 2023,29 de diciembre de 2023
Félix Bolaños,"Ministro de la Presidencia, Justicia y Relaciones con las Cortes",21 de noviembre de 2023,29 de diciembre de 2023
Margarita Robles,Ministra de Defensa,21 de noviembre de 2023,29 de diciembre de 2023
Fernando Grande-Marlaska,Ministro del Interior,21 de noviembre de 2023,29 de diciembre de 2023
Óscar Puente,Ministro de Transportes y Movilidad Sostenible,21 de noviembre de 2023,29 de diciembre de 2023
Formación Profesional y Deportes; y,Ministra de Educación,21 de noviembre de 2023,29 de diciembre de 2023
portavoz del Gobierno,", Pilar Alegría.",21 de noviembre de 2023,29 de diciembre de 2023
Jordi Hereu,Ministro de Industria y Turismo,21 de noviembre de 2023,29 de diciembre de 2023
Luis Planas,"Ministro de Agricultura, Pesca y Alimentación",21 de noviembre de 2023,29 de diciembre de 2023
Ángel Víctor Torres,Ministro de Política Territorial y Memoria Democrática,21 de noviembre de 2023,29 de diciembre de 2023
Isabel Rodríguez,Ministra de Vivienda y Agenda Urbana,21 de noviembre de 2023,29 de diciembre de 2023
Ernest Urtasun,Ministro de Cultura,21 de noviembre de 2023,29 de diciembre de 2023
Mónica García,Ministra de Sanidad,21 de noviembre de 2023,29 de diciembre de 2023
Pablo Bustinduy,"Ministro de Derechos Sociales, Consumo y Agenda 2030",21 de noviembre de 2023,29 de diciembre de 2023
Diana Morant,"Ministra de Ciencia, Innovación y Universidades",21 de noviembre de 2023,29 de diciembre de 2023
Ana Redondo,Ministra de Igualdad,21 de noviembre de 2023,29 de diciembre de 2023
Elma Saiz,"Ministra de Inclusión, Seguridad Social y Migraciones",21 de noviembre de 2023,29 de diciembre de 2023
José Luis Escrivá,Ministro de Transformación Digital,21 de noviembre de 2023,29 de diciembre de 2023
el presidente del Gobierno,El 29 de diciembre de 2023,29 de diciembre de 2023,6 de septiembre de 2024
anuncia la primera remodelación,del Gabinete de la XV legislatura.,29 de diciembre de 2023,6 de septiembre de 2024
cesa en su cargo y es sustituida por Carlos Cuerpo,"Como consecuencia del nombramiento de la vicepresidenta primera y titular de Economía, Nadia Calviño, como nueva directora del Banco Europeo de Inversiones",29 de diciembre de 2023,6 de septiembre de 2024
la Secretaría de Estado de Función Pública pasa a formar parte del Ministerio de Transición Digital que dirige el ministro José Luis Escrivá,"La vicepresidenta cuarta y ministra de Hacienda y Función Pública, María Jesús Montero, asume la Vicepresidencia Primera en sustitución de Calviño. A su vez",29 de diciembre de 2023,6 de septiembre de 2024
tres nombramientos,el 29 de diciembre y la reestructuración de los departamentos ministeriales y las vicepresidencias del Gobierno. Los ministros,29 de diciembre de 2023,6 de septiembre de 2024
prometen sus cargos ante el rey,el mismo día en el Palacio de la Zarzuela.,29 de diciembre de 2023,6 de septiembre de 2024
El Gabinete queda compuesto de la siguiente manera:,"Presidente del Gobierno, Pedro Sánchez Pérez-Castejón.",29 de diciembre de 2023,6 de septiembre de 2024
María Jesús Montero Cuadrado,Vicepresidenta primera y ministra de Hacienda,29 de diciembre de 2023,6 de septiembre de 2024
Teresa Ribera Rodríguez,Vicepresidenta tercera y ministra para la Transición Ecológica y el Reto Demográfico,29 de diciembre de 2023,6 de septiembre de 2024
José Manuel Albares,"Ministro de Asuntos Exteriores, Unión Europea y Cooperación",29 de diciembre de 2023,6 de septiembre de 2024
Félix Bolaños,"Ministro de la Presidencia, Justicia y Relaciones con las Cortes",29 de diciembre de 2023,6 de septiembre de 2024
Margarita Robles,Ministra de Defensa,29 de diciembre de 2023,6 de septiembre de 2024
Fernando Grande-Marlaska,Ministro del Interior,29 de diciembre de 2023,6 de septiembre de 2024
